('la!y', [[50, 50, 0, 0], [10, 90]])
('bz_y', [[9, 18, 72, 0], [0, 100]])
('wHd', [[34, 42, 6, 15], [30, 69]])
('bhrw', [[0, 0, 0, 100], [0, 100]])
('zy_m', [[15, 38, 46, 0], [30, 69]])
('tkW_r', [[23, 42, 20, 13], [37, 62]])
('bz_H', [[50, 12, 16, 20], [37, 62]])
('zy_d', [[31, 47, 21, 0], [14, 85]])
('mzmz', [[17, 62, 1, 17], [28, 71]])
('zy_y', [[10, 60, 30, 0], [41, 58]])
('wHy', [[0, 76, 15, 7], [10, 89]])
('lak_m', [[0, 20, 10, 70], [0, 100]])
('mnkWb', [[33, 0, 66, 0], [0, 100]])
('tagw', [[0, 0, 0, 100], [10, 90]])
('qb_y', [[5, 82, 11, 0], [29, 70]])
('gWHff', [[0, 100, 0, 0], [36, 63]])
('rad_y', [[0, 40, 60, 0], [0, 100]])
('gal_b', [[26, 63, 5, 5], [21, 78]])
('qT_n', [[40, 0, 20, 40], [20, 80]])
('gWHfw', [[0, 90, 0, 10], [50, 50]])
('magWt', [[13, 66, 10, 10], [31, 68]])
('rs_y', [[0, 53, 46, 0], [25, 75]])
('gar_d', [[11, 38, 22, 27], [39, 60]])
('Saw_d', [[60, 13, 0, 26], [60, 40]])
('!r!y', [[54, 0, 0, 45], [23, 76]])
('rab_H', [[15, 60, 5, 20], [24, 76]])
('fnC', [[16, 0, 83, 0], [16, 83]])
('qWar_S', [[38, 38, 0, 23], [26, 73]])
('zby', [[40, 30, 10, 20], [14, 85]])
('HngT', [[28, 35, 0, 35], [50, 50]])
('mdry', [[20, 66, 6, 6], [5, 94]])
('lk_`', [[25, 68, 0, 6], [43, 56]])
('fny', [[33, 25, 33, 8], [14, 85]])
('Hngd', [[69, 7, 0, 23], [46, 53]])
('qWrby', [[100, 0, 0, 0], [0, 100]])
('qWrbt', [[85, 0, 14, 0], [0, 100]])
('ntny', [[20, 60, 20, 0], [30, 70]])
('slfy', [[20, 20, 53, 6], [17, 82]])
('zngy', [[10, 40, 40, 10], [18, 81]])
('kwm', [[15, 7, 76, 0], [5, 94]])
('kwl', [[4, 18, 77, 0], [5, 94]])
('gb!y', [[66, 33, 0, 0], [33, 66]])
('kws', [[18, 72, 9, 0], [16, 83]])
('ntnn', [[0, 100, 0, 0], [20, 80]])
('kwy', [[0, 61, 38, 0], [28, 71]])
