('gl_l', [[32, 25, 0, 42], [34, 65]])
('gm_t', [[35, 50, 0, 13], [48, 51]])
('gr_h', [[15, 36, 26, 21], [20, 80]])
('gr_m', [[44, 21, 16, 17], [29, 70]])
('gbr', [[37, 46, 5, 11], [43, 56]])
('gb_!', [[10, 85, 2, 2], [58, 41]])
('gnn', [[34, 37, 3, 25], [39, 60]])
('gnzb', [[33, 35, 6, 24], [27, 72]])
('gnSl', [[24, 32, 12, 32], [12, 88]])
('g`r', [[25, 62, 9, 3], [36, 63]])
('g`z', [[35, 46, 0, 17], [27, 72]])
('gz!', [[19, 55, 7, 17], [27, 72]])
('gyx', [[30, 44, 10, 13], [33, 66]])
('gdf', [[32, 30, 13, 23], [30, 69]])
('gd_s', [[18, 65, 5, 10], [42, 57]])
('gd_d', [[40, 36, 3, 19], [41, 58]])
('gTm', [[35, 48, 2, 13], [45, 54]])
('gfH', [[15, 37, 6, 40], [11, 88]])
('gff', [[27, 47, 4, 20], [38, 61]])
('gWasy', [[33, 41, 0, 25], [21, 78]])
('gWhy', [[25, 53, 2, 19], [41, 58]])
('gWlbb', [[23, 26, 0, 50], [29, 70]])
('gWbT', [[35, 35, 2, 27], [22, 77]])
('gWn_S', [[7, 42, 21, 28], [18, 81]])
('gW`z', [[23, 67, 3, 5], [31, 68]])
('gWyy', [[26, 63, 5, 4], [21, 78]])
('gWdl', [[36, 44, 3, 15], [42, 57]])
('gWd!', [[13, 69, 2, 13], [43, 56]])
('Tll', [[14, 78, 0, 7], [33, 66]])
('Tlb', [[26, 60, 6, 7], [44, 55]])
('THl', [[27, 45, 2, 25], [35, 64]])
('THn', [[8, 56, 4, 32], [28, 71]])
('Tmr', [[22, 32, 2, 44], [42, 57]])
('Tm_t', [[30, 47, 10, 11], [29, 70]])
('Trnf', [[25, 48, 3, 22], [36, 63]])
('Tr`', [[23, 42, 14, 19], [8, 91]])
('Try', [[42, 35, 15, 6], [44, 56]])
('TrTr', [[33, 43, 4, 18], [37, 62]])
('Tqm', [[22, 61, 4, 10], [38, 61]])
('Tqs', [[48, 33, 3, 14], [45, 54]])
('Tq`', [[25, 52, 3, 18], [35, 64]])
('Tbq', [[23, 44, 2, 28], [36, 64]])
('Tnqq', [[18, 42, 14, 25], [12, 87]])
('Tw_y', [[25, 44, 14, 14], [20, 80]])
('T`m', [[23, 53, 5, 16], [36, 63]])
('T`s', [[18, 52, 5, 23], [25, 74]])
('T`y', [[28, 57, 0, 14], [50, 50]])
('TT_`', [[33, 50, 0, 16], [41, 58]])
('Tf!', [[22, 50, 3, 22], [28, 71]])
('Cnw', [[4, 47, 14, 33], [23, 76]])
('Cn_q', [[25, 42, 9, 22], [29, 70]])
('Cflq', [[10, 26, 5, 57], [5, 94]])
('Slmt', [[44, 22, 5, 27], [25, 75]])
('Sl!', [[21, 51, 2, 24], [39, 60]])
('Slw', [[20, 60, 0, 18], [39, 60]])
('Sl_y', [[16, 60, 18, 4], [19, 80]])
('SHf', [[28, 50, 5, 15], [40, 59]])
('Smd', [[36, 31, 3, 28], [34, 65]])
('Srr', [[12, 70, 4, 12], [38, 61]])
('Sry', [[27, 54, 12, 5], [27, 72]])
('Srf', [[17, 56, 11, 14], [21, 78]])
('SqT', [[25, 34, 7, 31], [21, 78]])
('SbSb', [[25, 45, 9, 20], [17, 82]])
('Sb_y', [[30, 58, 7, 2], [38, 61]])
('SnH', [[32, 45, 1, 20], [41, 58]])
('Snqq', [[29, 40, 3, 25], [40, 59]])
('Sn`', [[26, 44, 3, 25], [30, 69]])
('Swt', [[27, 54, 4, 14], [37, 62]])
('Sw_r', [[10, 66, 0, 22], [29, 70]])
('Sw_`', [[18, 56, 8, 16], [29, 70]])
('S`r', [[21, 56, 3, 19], [34, 65]])
('S`n', [[29, 48, 0, 22], [33, 66]])
('Sdq', [[40, 34, 0, 24], [44, 55]])
('Sg_m', [[33, 51, 6, 8], [34, 65]])
('Sg_b', [[59, 8, 14, 17], [34, 65]])
('Sg_n', [[22, 59, 4, 13], [24, 75]])
('Sg_`', [[16, 40, 10, 34], [12, 87]])
('fly', [[33, 52, 7, 7], [39, 60]])
('flT', [[27, 55, 4, 11], [39, 60]])
('fHr', [[28, 36, 8, 28], [26, 73]])
('frh', [[14, 54, 3, 28], [32, 67]])
('frH', [[27, 45, 3, 23], [33, 66]])
