xbxb	1100000	0010000
xbb	1100000
xyt	1010000
xtt	1010100	0110000
xnxn	1100000
xnqr	1100000
xnqWr	1100000
xntr	1100000
xngl	1100000
xngr	0000100	0000100
xnf	0110000
xN*	1100000
xkm	0110000
xkrkr	0110000
xkxk	1110000
xkWmkWm	0110000
xkWrmm	0110000
xkWt	0000100
xwrr	1110000
xwk	1000100	0000010
xwd	1100000
xdxd	1100000
xgxg	0000100
xgn	1010000
xgWr	1100000
xgWT	1100000
xyT	1110010
xft	1010000
xfn	1100011
xff	1000100
x'l	0110010
x'm	0000100
x'm'	0110000
x'r	1110000
xqb	0010000
xkr	1010000
xgr	0110010
x'T	1100000
xTr	1010000
xfd	1010000
xWlk	1110010
xwm	1101000
xwr	1010000
xwq	1110000
xWkxWk	0010100
xWkk	0000100
xWTT	1010000
xwf	0110000
xW'xW'	0100010
qll	1010100
qlm	0100000	1010000	0110000
qlsls	0110000
qlxlx	0010000
qlql	0110000	1110000
qlb	1100000
qlblb	0110000
qlbs	1100000	0000100
qld	1100110
qlT	1010110
qlTm	1100010
qlTT	0100000
qlTf	1000110
qlmd	1011000
qlwT	1010000
qms	1010110
qmqm	0000100	1010000
qmdmd	0110000
qmT	0101000
qmTl	1100010	0110000
qm'	1001100
qss	1010000
qsqs	1100000	0000100
qsf	1100000
qsft	1000100
qr*	1001000
qrmt	0000110
qrr	1010100	0010100	0010100	1010100
qrx*	1010000
qrxm	1000001
qrqr	1100000
qrqb	0110000
qrb	1010110
qrbb	0110000
qrn	0000100
qrn'	1010000
qrdd	1100100	0110000	0010000
qrT	1000100
qrC*	0000100
qrf	1100010
qrft	1100000
qrff	0110100
qxrr	1110000
qxqx	0100100
qql	1100000
qbl	0110010
qbr	1111110
qbqb	0110000
qbtt	1100000
qbdd	1110000
qbT	1010110
qb'	1100010
qbZr	1001000
qbTr	1001000
qtr	1100000	0000010
qns	1100011
qnqn	1010000
qnbr	0000110
qnznz	0110000
qnzf	1100000
qndl	1100000
qndr	0110000
qnd'	1010000
qnj*	0000100
qnTs	1100000
qnTr	0110000
qnTb	1100010
qnT'	1000100
qn'	1011100	1011100
qN*	0101000	1100000
qwll	1000100
qwm	0000100	1111010
qws	1000100
qwqw	0110000
qzmzm	0010000
qzqz	1000100
qZqZ	0110000
qym	0101010	0010000
qys	1100000
qyr	1100011
qyT	1100010
qdm	1101010	1101010	1101010
qds	1001000
qdd	1101010
qdj*	0100000
qTl	1001011	0110010
qTr	1001110
qTqT	0110000
qTb	1000010
qTT	1100000
qTf	1100001
qT'	1100000
qC*	1100000
qCl	0000010	0110000
qCm	0010000
qCqC	1000100
qSl	1001000
qfrr	0110000
qfqf	1100000
qfdd	1100000	0110000	0010000
qff	1010000
qst	0010000
q'r	0110000
qbz	1000010
qtt	1010000
qZ*	1010000
q'T'	1100000
qyl	1010000
qWlmm	1000100
qWlmT	0000100
qWlqWl	1110000	1110000	1110000
qWlC*	0000010
qWlf	1100011
qWl'	1100010
qWmT	1100011	1010000
qWsl	1000110
qWsqWs	1000100
qWrmd	0000110
qWrs	1100110
qWrss	0110000
qWrqWs	1000100
qWrqWr	1100000	0110000	0010000
qWrqWz	1010000
qWrb	1111000
qWrbb	0110000
qWrbC	1010000
qWrb'	1000100
qWrN*	0000100
qWrzz	0110000
qWrT	1111110	1111110	1111110
qWrTT	0000100
qWrfd	1000100
qWrff	0110000
qWxx	1000100
qWxqWx	1000100
qWxbl	0000100
qWbqWb	0010000
qWnqWn	1000100
qWnn	1100000
qWnj*	1010010
qWnTr	0000100
qWnTnT	0110000
qWnTT	1100100
qWzr	1100000
qWds	0000100
qWTr	1100110	1100010
qWTqWT	0100100	1010000	0110100
qWTb	1100000
qWT'	0101010
qWC*	1101000
qWCqWC	0000100
qWfr	1100010
qW'qW'	0100010
qW't	1010000
qW'f	0111000
blx*	0000100
blqT	1100100
blbl	0110000
blg	1010000	1010000
blT	1111110	1111110	1111110
blTT	1100100
blC*	0000010
blClC	0110000
blSg	1010000
bl'	1111110	1111110
bsl	1010100
bsr	0110000
bsqWl	1000100
bsbs	1110100
bsk	1100010	1100010
bsC*	0000100
bs'	1100000
brr	1010100
brq	1010010	1010000	1010000	1010000
brqs	1100000
brt'	1000110
brk	1000010	1100000
brkt	1110100
brkk	0110000
brz	1110100
bry*	0000100
brd	1010100
brjrj	0110000
brgd	1100100
brgg	1000100
brTT	0000100
br'	1010010
bxrk	1100000
bxqT	1000100
bxbx	0110000
bxt	1100000
bql	1110000
bqq	0000100	0000100
bqbq	1110000
bq'	1010110
btn	1100010
btk	1010010
bnn	1010100
bkl	1100000
bkr	0100000
bkbk	0110000
bzbz	1100000	0110000
bz'	1010100
byn	1001000
bdl	1100100
bdr	0110000
bdrg	0100000
bdbd	0110000
bj*	1110010
bgn	1010000
bTlTl	0110000
bTs	1100010	1100010
bTr	0110000
bTrr	0110100
bTq	1000010
bTbT	1100100
bCq	1100010
bCbC	0110100
b's	1000110
b'r'	1010000
bbl	0110000
b'b'	0010010
b't	1010000
bkn	1010010
bzt	1010000
bWll	1000100
bWlbWl	0110000
bWrqq	0110000
bWrbWr	1100000
bWqbWq	0110000
bWtrf	1100000
bWnn	1010000
bWzn	1010000
bWZbWZ	0110000
bWds	1100000
bWdn	0000100
bWgbWg	0110000
bWTlq	0100000
bWCrq	0000100	0000100	0000100
bWCq	1100110
bWCbWC	0000100	0000100	0000100
bWlt	0010000
bW'bW'	0100010	0100010	0100010
bWtr	0010000	0010000
bWc*	0100010	0100010	0100010
bWgt	1010000
bWCr	1100000
tll	1010000
tlm	1100000
tlq	1010000
tl'	1010000
trt	1100000
trtr	1100000	0010000
trkk	1110000
trgWm	1101000
trf	1010110	1010110
